Tanggal,Pasar,Bawang Merah,Beras Medium,Beras Termurah,Cabe Merah Besar,Cabe Merah Keriting,Daging Ayam,Daging Sapi,Gula Pasir,Jagung,Kedelai,Minyak Goreng,Telur Ayam
11/5/2012,Pasar Beringharjo,8000,7500,6800,14000,12000,24000,80000,12000,4156,9100,8000,15000
11/12/2012,Pasar Beringharjo,8000,7500,6100,10000,9000,23000,80000,12000,4156,9100,8000,14500
11/19/2012,Pasar Beringharjo,11000,7500,6100,11000,10000,23000,80000,12000,4156,9100,8000,14500
11/26/2012,Pasar Beringharjo,12000,7500,6100,8000,6000,22000,88000,12000,4156,9100,8000,15000
12/3/2012,Pasar Beringharjo,12000,7700,6300,10000,8000,23000,88000,12000,4156,9100,8000,15000
12/10/2012,Pasar Beringharjo,12000,7800,6300,10000,8000,23000,88000,12000,4156,9100,8000,15500
12/17/2012,Pasar Beringharjo,13000,8182,6500,10000,8000,24000,88000,11600,4156,9100,8000,15500
8/26/2013,Pasar Beringharjo,16565,8182,6787,18000,12522,26652,94091,11070,4156,9100,9761,9761
9/9/2013,Pasar Beringharjo,20000,8000,6500,15696,16000,31000,90000,11500,4000,9500,9500,17000
9/16/2013,Pasar Beringharjo,20000,8000,6500,19000,18000,31000,90000,11500,4000,9500,10000,17000
12/16/2013,Pasar Beringharjo,21000,8300,6700,30000,22000,26000,99000,11500,4000,9500,10500,16000
12/30/2013,Pasar Beringharjo,21000,8300,6700,40000,24000,27000,99000,11500,4000,9500,10500,18000
3/3/2014,Pasar Beringharjo,17000,8700,7000,30000,24000,26000,98000,10000,4000,9000,11000,16000
3/10/2014,Pasar Beringharjo,15000,8700,7000,20000,20000,26000,94091,10000,4000,9000,11000,15000
3/17/2014,Pasar Beringharjo,15000,8700,7000,17000,15000,26000,98000,10000,4000,9000,11000,13000
3/24/2014,Pasar Beringharjo,15000,8700,7000,20000,20000,26000,98000,10000,4000,9000,11000,15000
5/12/2014,Pasar Beringharjo,14000,8600,7000,12000,8000,28000,98000,10000,4000,9000,10500,17000
5/19/2014,Pasar Beringharjo,15000,8500,7000,10000,7000,28000,98000,10000,4000,9000,10500,17500
5/26/2014,Pasar Beringharjo,16000,8500,7000,10000,7000,28000,98000,10000,4000,9000,10500,18000
6/2/2014,Pasar Beringharjo,17000,8000,7000,10000,7000,28000,98000,10000,4000,9000,10500,18500
6/9/2014,Pasar Beringharjo,20000,8000,7000,10000,5000,29000,98000,10000,4000,9000,10500,19000
6/16/2014,Pasar Beringharjo,20000,8000,7000,10000,8000,30000,98000,10000,4000,9000,10500,19000
6/23/2014,Pasar Beringharjo,22000,8000,7000,10000,8000,32000,102000,10000,4000,9000,10000,18000
5/16/2016,Pasar Beringharjo,37000,9500,8500,22000,18000,29000,116000,15000,6500,8600,11000,18500
